entry_id,network,instance,dispatch_id,op,name,kind,hart,actual_start_ms,actual_end_ms,actual_duration_ms
140,yolov8_nano,0,140,,,gemmini_q31,0,516.225000,516.310000,0.085000
141,yolov8_nano,0,141,,,gemmini_q31,0,516.310000,516.583000,0.273000
142,yolov8_nano,0,142,,,gemmini_q31,0,516.583000,517.112000,0.529000
143,yolov8_nano,0,143,,,gemmini_q31,0,517.112000,517.257000,0.145000
144,yolov8_nano,0,144,,,gemmini_q31,0,517.257000,517.802000,0.545000
145,yolov8_nano,0,145,,,gemmini_q31,0,517.802000,517.909000,0.107000
146,yolov8_nano,0,146,,,gemmini_q31,0,517.909000,517.950000,0.041000
147,dronet,0,0,,,rvv,2,517.986000,519.513000,1.527000
148,dronet,0,1,,,rvv,2,519.514000,519.738000,0.224000
149,dronet,0,2,,,rvv,2,519.738000,519.770000,0.032000
150,dronet,0,3,,,rvv,2,519.770000,520.614000,0.844000
151,dronet,0,4,,,rvv,2,520.614000,521.451000,0.837000
152,dronet,0,5,,,rvv,2,521.451000,521.631000,0.180000
153,dronet,0,6,,,rvv,2,521.631000,521.643000,0.012000
154,dronet,0,7,,,rvv,2,521.643000,521.653000,0.010000
155,dronet,0,8,,,rvv,2,521.653000,522.234000,0.581000
156,dronet,0,9,,,rvv,2,522.234000,523.342000,1.108000
157,dronet,0,10,,,rvv,2,523.342000,523.455000,0.113000
158,dronet,0,11,,,rvv,2,523.455000,523.461000,0.006000
159,dronet,0,12,,,rvv,2,523.461000,523.467000,0.006000
160,dronet,0,13,,,rvv,2,523.467000,524.122000,0.655000
161,dronet,0,14,,,rvv,2,524.122000,525.415000,1.293000
162,dronet,0,15,,,rvv,2,525.415000,525.506000,0.091000
163,dronet,0,16,,,rvv,2,525.507000,525.511000,0.004000
164,dronet,0,17,,,rvv,2,525.511000,525.511000,0.000000
165,dronet,0,18,,,rvv,2,525.512000,525.514000,0.002000
166,dronet,0,19,,,rvv,2,525.514000,525.516000,0.002000
167,dronet,0,20,,,rvv,2,525.516000,525.517000,0.001000
