dispatch_id,name,op,shape,cycles
197,detect.cv2_2_0.conv,conv2d_s8,N=1;IC=256;IH=5;IW=5;OC=64;OH=5;OW=5;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2338207
198,detect.cv2_2_0.bn,batchnorm2d_s8,N=1;C=64;H=5;W=5,3762
199,detect.cv2_2_0.act,silu_s8,n=1600,90773
200,detect.cv2_2_1.conv,conv2d_s8,N=1;IC=64;IH=5;IW=5;OC=64;OH=5;OW=5;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,592670
201,detect.cv2_2_1.bn,batchnorm2d_s8,N=1;C=64;H=5;W=5,3690
202,detect.cv2_2_1.act,silu_s8,n=1600,90854
203,detect.cv2_2_2,conv2d_s8,N=1;IC=64;IH=5;IW=5;OC=64;OH=5;OW=5;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,96041
204,detect.cv3_2_0.conv,conv2d_s8,N=1;IC=256;IH=5;IW=5;OC=80;OH=5;OW=5;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,3494402
205,detect.cv3_2_0.bn,batchnorm2d_s8,N=1;C=80;H=5;W=5,4482
206,detect.cv3_2_0.act,silu_s8,n=2000,95980
207,detect.cv3_2_1.conv,conv2d_s8,N=1;IC=80;IH=5;IW=5;OC=80;OH=5;OW=5;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1103125
208,detect.cv3_2_1.bn,batchnorm2d_s8,N=1;C=80;H=5;W=5,4459
209,detect.cv3_2_1.act,silu_s8,n=2000,95038
210,detect.cv3_2_2,conv2d_s8,N=1;IC=80;IH=5;IW=5;OC=80;OH=5;OW=5;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,172585
211,cat_15,cat2_c1_s8,N=1;H=5;W=5;C_inputs=64|80;C_total=144,7343
