cell_id,family,pair,arm,solver,ok,solver_status,timed_out,returncode,makespan_pred_ms,num_operations,num_periodic_operations,total_busy_ms,wall_s,build_s,solve_s,mosek_time_s,mip_rel_gap,mip_best_obj,mip_best_bound,num_period_misses,worst_late_ms,util_CPU_P,util_CPU_E,busy_CPU_P_ms,busy_CPU_E_ms,n_CPU_P,n_CPU_E,hw_CPU_P,hw_CPU_E,failure_reason,error
shard__networks_saturation_quad__decomposed,saturation,quad,shard,decomposed,True,heuristic,,0,68.341274,549,268,151.11438199999972,7.037265300750732,,,,,,,0,0.0,0.7134140782918386,0.3921724374058348,97.51125399999998,53.603128000000005,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_quad__milp,saturation,quad,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_saturation_rvvpair__greedy,saturation,rvvpair,shard,greedy,True,heuristic,,0,161.74792100000013,619,338,282.5965919999997,9.024134159088135,,,,,,,0,0.0,,0.873571017954535,,282.59659199999965,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_rvvpair__greedy_periodic,saturation,rvvpair,shard,greedy_periodic,True,heuristic,,0,145.84505900000008,619,338,282.5965919999997,13.008693218231201,,,,,,,16,43.494036000000044,,0.9688247032078046,,282.59659199999965,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_rvvpair__decomposed,saturation,rvvpair,shard,decomposed,True,heuristic,,0,158.36999900000006,619,338,282.5965919999997,5.354694843292236,,,,,,,0,0.0,,0.8922036805720998,,282.59659199999965,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_rvvpair__milp,saturation,rvvpair,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_scale_ladder_gempair__greedy,scale_ladder,gempair,shard,greedy,True,heuristic,,0,73.72996300000001,211,0,141.51844500000016,2.1922154426574707,,,,,,,0,0.0,0.959707825975716,,141.51844499999999,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_gempair__greedy_periodic,scale_ladder,gempair,shard,greedy_periodic,True,heuristic,,0,73.72996300000001,211,0,141.51844500000016,2.213900566101074,,,,,,,0,0.0,0.959707825975716,,141.51844499999999,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_gempair__decomposed,scale_ladder,gempair,shard,decomposed,True,heuristic,,0,73.72996300000001,211,0,141.51844500000016,1.7201814651489258,,,,,,,0,0.0,0.959707825975716,,141.51844499999999,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_gempair__milp,scale_ladder,gempair,shard,milp,False,,True,-9,,,,,1200.7569918632507,,,,,,,,,,,,,0,0,,,wall_clock_timeout,run failed (rc=-9) or no schedule json
shard__networks_scale_ladder_hetero__greedy,scale_ladder,hetero,shard,greedy,True,heuristic,,0,68.528527,211,0,123.30841800000003,2.061197519302368,,,,,,,0,0.0,0.9024507997961199,0.8969227370084872,61.84362399999999,61.46479400000001,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_hetero__greedy_periodic,scale_ladder,hetero,shard,greedy_periodic,True,heuristic,,0,68.528527,211,0,123.30841800000003,2.0799524784088135,,,,,,,0,0.0,0.9024507997961199,0.8969227370084872,61.84362399999999,61.46479400000001,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_hetero__decomposed,scale_ladder,hetero,shard,decomposed,True,heuristic,,0,68.528527,211,0,123.30841800000003,1.7399325370788574,,,,,,,0,0.0,0.9024507997961199,0.8969227370084872,61.84362399999999,61.46479400000001,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_hetero__milp,scale_ladder,hetero,shard,milp,True,optimal_inaccurate,False,0,118.16260436698428,211,0,134.5480300000001,531.8345265388489,375.6,120.3,120.2,0.5976335289405817,118.162604367,47.54467013034,0,0.0,0.9981137486925055,0.14055470500987466,117.9397200000001,16.608310000000003,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_quad__greedy,scale_ladder,quad,shard,greedy,True,heuristic,,0,56.632367,211,0,120.88205100000005,2.6818978786468506,,,,,,,0,0.0,0.4681935155562188,0.5990588120747273,53.02981399999999,67.85223699999999,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_quad__greedy_periodic,scale_ladder,quad,shard,greedy_periodic,True,heuristic,,0,56.632367,211,0,120.88205100000005,2.7377867698669434,,,,,,,0,0.0,0.4681935155562188,0.5990588120747273,53.02981399999999,67.85223699999999,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_quad__decomposed,scale_ladder,quad,shard,decomposed,True,heuristic,,0,56.632367,211,0,120.88205100000005,1.7179460525512695,,,,,,,0,0.0,0.4681935155562188,0.5990588120747273,53.02981399999999,67.85223699999999,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_quad__milp,scale_ladder,quad,shard,milp,False,,False,-11,,,,,571.1667151451111,,,,,,,,,,,,,0,0,,,out_of_memory_model_build,run failed (rc=-11) or no schedule json
shard__networks_scale_ladder_rvvpair__greedy,scale_ladder,rvvpair,shard,greedy,True,heuristic,,0,74.792667,211,0,148.626472,2.223867416381836,,,,,,,0,0.0,,0.9935898662364856,,148.626472,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_rvvpair__greedy_periodic,scale_ladder,rvvpair,shard,greedy_periodic,True,heuristic,,0,74.792667,211,0,148.626472,2.2183938026428223,,,,,,,0,0.0,,0.9935898662364856,,148.626472,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_rvvpair__decomposed,scale_ladder,rvvpair,shard,decomposed,True,heuristic,,0,74.792667,211,0,148.626472,1.7159450054168701,,,,,,,0,0.0,,0.9935898662364856,,148.626472,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_scale_ladder_rvvpair__milp,scale_ladder,rvvpair,shard,milp,False,,True,-9,,,,,1200.838460445404,,,,,,,,,,,,,0,0,,,wall_clock_timeout,run failed (rc=-9) or no schedule json
shard__networks_tight_loop_gempair__greedy,tight_loop,gempair,shard,greedy,True,heuristic,,0,71.89040300000002,308,308,141.4339600000001,3.705648422241211,,,,,,,4,65.04671000000002,0.9836776127127841,,141.43395999999998,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_tight_loop_gempair__greedy_periodic,tight_loop,gempair,shard,greedy_periodic,True,heuristic,,0,71.89040300000002,308,308,141.4339600000001,3.699420690536499,,,,,,,4,65.04671000000002,0.9836776127127841,,141.43395999999998,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_tight_loop_gempair__decomposed,tight_loop,gempair,shard,decomposed,True,heuristic,,0,71.05814200000005,308,308,141.4339600000001,6.258405685424805,,,,,,,28,61.934142000000044,0.9951988330907939,,141.43395999999996,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_tight_loop_gempair__milp,tight_loop,gempair,shard,milp,False,infeasible,False,1,,,,,956.4325349330902,914.3,0.2861,0.14,,,,,,,,,,0,0,,,milp_proved_infeasible,run failed (rc=1) or no schedule json
