arm,family,pair,num_operations,ops_consistent,greedy_makespan_ms,greedy_periodic_makespan_ms,decomposed_makespan_ms,milp_makespan_ms,greedy_improvement_pct,greedy_periodic_improvement_pct,decomposed_improvement_pct,milp_improvement_pct,greedy_wall_s,greedy_periodic_wall_s,decomposed_wall_s,milp_wall_s,greedy_status,greedy_periodic_status,decomposed_status,milp_status,greedy_period_misses,greedy_periodic_period_misses,decomposed_period_misses,milp_period_misses,greedy_comparable,greedy_periodic_comparable,decomposed_comparable,milp_comparable,greedy_ops,greedy_periodic_ops,decomposed_ops,milp_ops,best_solver,best_improvement_pct
shard,depth_nav,quad,410,True,429.50886699999967,429.50886699999967,429.46864399999964,,0.0,0.0,0.009364882331992905,,4.766395807266235,4.7069737911224365,3.793177604675293,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,410,410,410,,decomposed,0.009364882331992905
shard,depth_nav,rvvpair,410,True,220.47534400000006,220.47534400000006,220.47534400000006,,0.0,0.0,0.0,,3.4888033866882324,3.4629745483398438,3.0492560863494873,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,410,410,410,,greedy,0.0
shard,perception_heavy,gempair,228,True,132.729981,132.729981,132.729981,,0.0,0.0,0.0,,2.177452802658081,2.1900579929351807,1.7815699577331543,875.6037225723267,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,228,228,228,,greedy,0.0
shard,perception_heavy,hetero,228,True,122.88301000000004,129.924741,122.88301000000004,133.6100978755132,0.0,-5.730434988530935,0.0,-8.729512627915888,2.100128173828125,2.0872299671173096,1.8256444931030273,258.9034209251404,heuristic,heuristic,heuristic,optimal_inaccurate,0,0,0,0,True,True,True,True,228,228,228,228,greedy,0.0
shard,perception_heavy,quad,228,True,83.01467900000003,82.01294600000003,83.01467900000003,,0.0,1.206693818571534,0.0,,2.481578826904297,2.525115728378296,1.7887616157531738,1200.5611515045166,heuristic,heuristic,heuristic,FAILED,0,3,0,,True,True,True,,228,228,228,,greedy_periodic,1.206693818571534
shard,perception_heavy,rvvpair,228,True,182.21574600000002,178.87938600000007,182.21574600000002,,0.0,1.8309943422781674,0.0,,2.140881061553955,2.14282488822937,1.7876403331756592,903.8510494232178,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,228,228,228,,greedy_periodic,1.8309943422781674
shard,saturation,gempair,619,True,138.84204699999998,123.89171700000014,140.13265199999995,,0.0,10.767869188791087,-0.9295491012171343,,7.92960262298584,17.36674976348877,5.493853569030762,,heuristic,heuristic,heuristic,FAILED,0,22,9,,True,True,True,,619,619,619,,greedy_periodic,10.767869188791087
shard,saturation,hetero,619,True,115.25249799999997,111.38486200000004,118.35234499999999,,0.0,3.3557936418869936,-2.68961372099719,,8.25195598602295,9.328415393829346,4.597537994384766,,heuristic,heuristic,heuristic,FAILED,0,15,0,,True,True,True,,619,619,619,,greedy_periodic,3.3557936418869936
shard,saturation,quad,549,True,68.38559099999999,64.71804399999996,68.341274,,0.0,5.363040585552632,0.06480458727042718,,19.864739894866943,24.936801195144653,7.037265300750732,,heuristic,heuristic,heuristic,FAILED,0,19,0,,True,True,True,,549,549,549,,greedy_periodic,5.363040585552632
shard,saturation,rvvpair,619,True,161.74792100000013,145.84505900000008,158.36999900000006,,0.0,9.83188031208144,2.088386656914166,,9.024134159088135,13.008693218231201,5.354694843292236,,heuristic,heuristic,heuristic,FAILED,0,16,0,,True,True,True,,619,619,619,,greedy_periodic,9.83188031208144
